# DataThief /Users/tim/Dropbox/work/Projects/20_greenedge/datathief/./Hamano+15_Fig12a/Figure.png Tuesday 21-Apr-2020 4:19:10 PM
# T_surf (K), OLR (W/m^2)
2173.8432, 395.5575
2173.8432, 395.9205
2173.8432, 396.2835
2175.4499, 396.646
2175.4499, 397.0089
2175.4499, 397.3719
2177.0566, 397.7344
2177.0566, 398.0974
2177.0566, 398.4604
2178.6632, 398.8229
2178.6632, 399.1859
2178.6632, 399.5488
2178.6632, 399.9118
2180.2699, 400.2743
2180.2699, 400.6373
2180.2699, 401.0003
2181.8766, 401.3628
2181.8766, 401.7258
2181.8766, 402.0887
2183.4833, 402.4513
2183.4833, 402.8142
2183.4833, 403.1772
2185.09, 403.5396
2185.09, 403.9026
2185.09, 404.2657
2185.09, 404.6286
2185.09, 404.9916
2186.6966, 405.3541
2186.6966, 405.717
2188.3033, 406.0796
2189.91, 406.4421
2189.91, 406.8051
2191.5167, 407.1676
2191.5167, 407.5306
2191.5167, 407.8936
2191.5167, 408.2565
2193.1234, 408.6191
2193.1234, 408.982
2193.1234, 409.345
2193.1234, 409.708
2193.1234, 410.071
2194.7301, 410.4335
2194.7301, 410.7964
2194.7301, 411.1594
2194.7301, 411.5224
2194.7301, 411.8854
2196.3368, 412.2479
2196.3368, 412.6109
2196.3368, 412.9738
2196.3368, 413.3368
2197.9434, 413.6993
2197.9434, 414.0623
2197.9434, 414.4253
2197.9434, 414.7883
2197.9434, 415.1512
2199.5501, 415.5137
2199.5501, 415.8767
2199.5501, 416.2397
2199.5501, 416.6027
2201.1568, 416.9651
2201.1568, 417.3282
2201.1568, 417.6911
2201.1568, 418.0541
2201.1568, 418.4171
2202.7635, 418.7795
2202.7635, 419.1426
2202.7635, 419.5055
2202.7635, 419.8685
2204.3702, 420.231
2204.3702, 420.5939
2204.3702, 420.9569
2204.3702, 421.32
2204.3702, 421.6829
2204.3702, 422.0459
2205.9769, 422.4083
2205.9769, 422.7713
2205.9769, 423.1344
2205.9769, 423.4974
2205.9769, 423.8603
2207.5835, 424.2227
2207.5835, 424.5857
2207.5835, 424.9487
2207.5835, 425.3118
2207.5835, 425.6747
2207.5835, 426.0377
2209.1902, 426.4002
2209.1902, 426.7631
2209.1902, 427.1262
2209.1902, 427.4892
2209.1902, 427.8521
2210.7969, 428.2147
2210.7969, 428.5776
2210.7969, 428.9405
2210.7969, 429.3035
2210.7969, 429.6665
2210.7969, 430.0295
2212.4036, 430.392
2212.4036, 430.755
2212.4036, 431.1179
2212.4036, 431.4809
2212.4036, 431.8439
2212.4036, 432.2069
2214.0103, 432.5694
2214.0103, 432.9324
2214.0103, 433.2953
2214.0103, 433.6583
2214.0103, 434.0213
2215.617, 434.3838
2215.617, 434.7468
2215.617, 435.1098
2215.617, 435.4727
2215.617, 435.8357
2215.617, 436.1987
2217.2237, 436.5612
2217.2237, 436.9242
2217.2237, 437.2872
2217.2237, 437.6502
2217.2237, 438.0131
2218.8303, 438.3757
2218.8303, 438.7386
2218.8303, 439.1016
2218.8303, 439.4646
2218.8303, 439.8276
2218.8303, 440.1905
2220.437, 440.553
2220.437, 440.916
2220.437, 441.279
2220.437, 441.642
2220.437, 442.005
2220.437, 442.3679
2222.0437, 442.7304
2222.0437, 443.0934
2222.0437, 443.4564
2222.0437, 443.8194
2222.0437, 444.1823
2223.6503, 444.5449
2223.6503, 444.9078
2223.6503, 445.2708
2223.6503, 445.6338
2223.6503, 445.9968
2223.6503, 446.3597
2225.257, 446.7222
2225.257, 447.0852
2225.257, 447.4482
2225.257, 447.8112
2225.257, 448.1742
2226.8638, 448.5367
2226.8638, 448.8996
2226.8638, 449.2626
2226.8638, 449.6256
2226.8638, 449.9886
2226.8638, 450.3515
2228.4704, 450.7141
2228.4704, 451.077
2228.4704, 451.44
2228.4704, 451.803
2228.4704, 452.166
2230.0771, 452.5285
2230.0771, 452.8914
2230.0771, 453.2544
2230.0771, 453.6174
2230.0771, 453.9804
2230.0771, 454.3434
2231.6838, 454.7059
2231.6838, 455.0688
2231.6838, 455.4318
2231.6838, 455.7948
2231.6838, 456.1578
2231.6838, 456.5207
2233.2905, 456.8833
2233.2905, 457.2462
2233.2905, 457.6092
2233.2905, 457.9722
2233.2905, 458.3352
2234.8972, 458.6977
2234.8972, 459.0606
2234.8972, 459.4236
2234.8972, 459.7866
2234.8972, 460.1496
2234.8972, 460.5126
2236.5039, 460.8751
2236.5039, 461.238
2236.5039, 461.601
2236.5039, 461.964
2236.5039, 462.327
2238.1105, 462.6895
2238.1105, 463.0525
2238.1105, 463.4154
2238.1105, 463.7784
2238.1105, 464.1414
2238.1105, 464.5044
2239.7172, 464.8669
2239.7172, 465.2298
2239.7172, 465.5928
2239.7172, 465.9558
2239.7172, 466.3188
2239.7172, 466.6818
2241.3239, 467.0443
2241.3239, 467.4072
2241.3239, 467.7702
2241.3239, 468.1332
2241.3239, 468.4962
2242.9306, 468.8587
2242.9306, 469.2217
2242.9306, 469.5846
2242.9306, 469.9476
2242.9306, 470.3106
2242.9306, 470.6736
2244.5373, 471.0361
2244.5373, 471.399
2244.5373, 471.762
2244.5373, 472.125
2244.5373, 472.488
2246.144, 472.8505
2246.144, 473.2135
2246.144, 473.5764
2246.144, 473.9394
2246.144, 474.3024
2246.144, 474.6654
2247.7506, 475.0279
2247.7506, 475.3909
2247.7506, 475.7538
2247.7506, 476.1168
2247.7506, 476.4798
2249.3573, 476.8423
2249.3573, 477.2053
2249.3573, 477.5682
2249.3573, 477.9312
2249.3573, 478.2942
2249.3573, 478.6572
2250.964, 479.0197
2250.964, 479.3827
2250.964, 479.7456
2250.964, 480.1086
2250.964, 480.4716
2250.964, 480.8346
2252.5707, 481.1971
2252.5707, 481.5601
2252.5707, 481.923
2252.5707, 482.286
2252.5707, 482.649
2254.1774, 483.0115
2254.1774, 483.3745
2254.1774, 483.7374
2254.1774, 484.1004
2254.1774, 484.4634
2254.1774, 484.8264
2255.7841, 485.1889
2255.7841, 485.5518
2255.7841, 485.9148
2255.7841, 486.2778
2255.7841, 486.6408
2257.3907, 487.0033
2257.3907, 487.3663
2257.3907, 487.7292
2257.3907, 488.0922
2257.3907, 488.4552
2257.3907, 488.8182
2258.9973, 489.1807
2258.9973, 489.5436
2258.9973, 489.9066
2258.9973, 490.2696
2258.9973, 490.6326
2258.9973, 490.9956
2260.604, 491.358
2260.604, 491.721
2260.604, 492.084
2260.604, 492.447
2260.604, 492.81
2262.2107, 493.1724
2262.2107, 493.5354
2262.2107, 493.8984
2262.2107, 494.2614
2262.2107, 494.6244
2262.2107, 494.9874
2262.2107, 495.3504
2263.8175, 495.7128
2263.8175, 496.0758
2263.8175, 496.4388
2265.4242, 496.8013
2265.4242, 497.1643
2265.4242, 497.5272
2267.0308, 497.5268
2267.0308, 497.8898
