# DataThief /Users/tim/Dropbox/work/Projects/20_greenedge/datathief/./Hamano+15_Fig12a/Figure.png Tuesday 21-Apr-2020 4:05:37 PM
# T_surf (K), OLR (W/m^2)
1629.1774, 282.467
1630.7841, 282.4666
1632.3907, 282.4661
1633.9973, 282.4656
1635.604, 282.8281
1637.2107, 282.8277
1638.8175, 282.8272
1640.4242, 282.8267
1642.0308, 282.8263
1643.6375, 282.8258
1645.2442, 283.1883
1646.8509, 283.1878
1648.4576, 283.1874
1650.0643, 283.1869
1651.671, 283.1864
1653.2776, 283.186
1654.8843, 283.5485
1656.491, 283.548
1658.0977, 283.5476
1659.7044, 283.5471
1661.3111, 283.5466
1662.9177, 283.5462
1664.5244, 283.5457
1666.1311, 283.9082
1667.7378, 283.9077
1669.3445, 283.9073
1670.9512, 283.9068
1672.5577, 283.9062
1674.1645, 284.2688
1675.7711, 284.2684
1677.3779, 284.2679
1678.9846, 284.2674
1680.5913, 284.267
1682.1979, 284.2665
1683.8046, 284.629
1685.4113, 284.6286
1687.018, 284.628
1688.6247, 284.6276
1690.2314, 284.9901
1691.838, 284.9897
1693.4447, 284.9891
1695.0514, 284.9887
1696.6581, 284.9883
1698.2648, 285.3508
1699.8715, 285.3503
1701.4781, 285.3498
1703.0848, 285.7124
1704.6915, 285.7119
1706.2982, 286.0744
1707.9049, 286.0739
1709.5116, 286.4364
1711.1183, 286.436
1712.7248, 286.7985
1714.3316, 286.798
1715.9383, 287.1605
1717.545, 287.1601
1719.1517, 287.5226
1720.7584, 287.5221
1722.365, 287.5215
1723.9717, 287.8841
1725.5784, 287.8837
1727.1851, 288.2462
1728.7917, 288.2457
1730.3985, 288.2453
1732.0051, 288.6078
1733.6118, 288.6073
1735.2185, 288.9698
1736.8252, 288.9693
1738.4319, 289.3319
1740.0386, 289.3314
1741.6452, 289.6939
1743.2519, 289.6934
1744.8586, 290.0559
1746.4653, 290.0555
1748.072, 290.055
1749.6787, 290.4175
1751.2852, 290.417
1752.892, 290.7795
1754.4987, 290.7791
1756.1054, 291.1416
1757.7121, 291.1411
1759.3188, 291.5036
1760.9254, 291.5032
1762.5321, 291.8657
1764.1388, 291.8652
1765.7455, 291.8648
1767.3522, 292.2273
1768.9588, 292.2268
1770.5655, 292.5893
1772.1722, 292.5888
1773.7789, 292.9514
1775.3856, 292.9508
1776.9923, 292.9504
1778.599, 293.3129
1780.2057, 293.3125
1781.8123, 293.675
1783.419, 293.6745
1785.0257, 294.037
1786.6324, 294.0365
1788.2391, 294.3991
1789.8458, 294.3986
1791.4524, 294.761
1793.0591, 294.7606
1794.6658, 295.1231
1796.2725, 295.1227
1797.8792, 295.4852
1799.4859, 295.8477
1801.0925, 295.8472
1802.6992, 296.2097
1804.3059, 296.5723
1805.9125, 296.5718
1807.5192, 296.9343
1809.126, 297.2968
1810.7326, 297.6593
1812.3393, 298.0218
1813.946, 298.0214
1815.5527, 298.3839
1817.1594, 298.7464
1818.7661, 299.1089
1820.3728, 299.4714
1821.9794, 299.8338
1823.5861, 300.1964
1825.1928, 300.5589
1826.7995, 300.9214
1828.4062, 301.2839
1830.0129, 301.6465
1831.6195, 302.009
1833.2262, 302.0085
1833.2262, 302.3715
1834.8329, 302.371
1836.4396, 302.7335
1838.0463, 303.096
1839.653, 303.4585
1841.2596, 303.821
1842.8662, 304.1836
1844.4729, 304.1831
1844.4729, 304.5461
1846.0796, 304.5455
1847.6864, 304.9081
1849.2931, 305.2706
1850.8997, 305.6331
1852.5064, 305.6327
1852.5064, 305.9956
1854.1131, 305.9952
1855.7198, 306.3577
1857.3265, 306.7202
1858.9332, 307.0827
1860.5398, 307.4452
1862.1465, 307.4447
1863.7532, 307.8073
1865.3599, 308.1698
1866.9666, 308.5323
1868.5733, 308.8948
1870.1799, 309.2572
1871.7866, 309.6198
1873.3933, 309.6193
1873.3933, 309.9823
1875.0, 309.9819
1876.6067, 310.3444
1878.2134, 310.7069
1879.8201, 311.0694
1881.4267, 311.4319
1883.0334, 311.7944
1884.6401, 312.1569
1886.2468, 312.5194
1887.8535, 312.519
1889.4602, 312.8815
1891.0668, 313.244
1892.6735, 313.6065
1894.2802, 313.9689
1895.8869, 314.3315
1897.4936, 314.694
1899.1003, 315.0565
1900.7069, 315.419
1902.3136, 315.7814
1902.3136, 316.1445
1903.9203, 316.507
1905.527, 316.8695
1905.527, 317.2325
1907.1337, 317.595
1908.7404, 317.9575
1910.347, 318.32
1911.9537, 318.6825
1911.9537, 319.0455
1913.5604, 319.408
1913.5604, 319.771
1915.1671, 320.1335
1916.7738, 320.496
1918.3805, 320.8585
1918.3805, 321.2215
1919.987, 321.584
1921.5937, 321.9465
1923.2005, 322.3091
1923.2005, 322.672
1924.8072, 323.0345
1926.4139, 323.397
1926.4139, 323.76
1928.0206, 324.1225
1929.6272, 324.4849
1929.6272, 324.8479
1931.2339, 325.2105
1932.8406, 325.573
1932.8406, 325.936
1934.4473, 326.2985
1936.054, 326.661
1936.054, 327.024
1937.6606, 327.3865
1939.2674, 327.749
1940.874, 328.1115
1940.874, 328.4745
1942.4807, 328.837
1944.0874, 329.1995
1944.0874, 329.5625
1945.6941, 329.925
1947.3008, 330.2875
1947.3008, 330.6505
1948.9075, 331.013
1950.5141, 331.3755
1950.5141, 331.7385
1952.1208, 332.101
1953.7275, 332.4635
1955.3342, 332.826
1955.3342, 333.189
1956.9409, 333.5514
1958.5476, 333.914
1960.1542, 334.2765
1960.1542, 334.6395
1961.7609, 335.002
1963.3676, 335.3645
1964.9743, 335.7269
1964.9743, 336.09
1966.581, 336.4525
1966.581, 336.8155
1968.1877, 337.178
1968.1877, 337.541
1968.1877, 337.904
1969.7943, 338.2665
