   Temperature           BIR            BW1               BW2             BUV             BVIS1             BVIS2
   174.000000       10.3697052       2.26879187E-04   6.17516327       0.00000000       0.00000000       3.74357445E-39
   175.000000       10.5434256       2.53373233E-04   6.38505411       0.00000000       0.00000000       6.79758535E-39
   176.000000       10.7187138       2.82616529E-04   6.60000896       0.00000000       0.00000000       1.22600948E-38
   177.000000       10.8955784       3.14857491E-04   6.82009315       0.00000000       0.00000000       2.19661283E-38
   178.000000       11.0740290       3.50363407E-04   7.04537344       0.00000000       0.00000000       3.91004899E-38
   179.000000       11.2540779       3.89421708E-04   7.27591515       0.00000000       0.00000000       6.91555870E-38
   180.000000       11.4357367       4.32341127E-04   7.51178360       0.00000000       0.00000000       1.21544425E-37
   181.000000       11.6190157       4.79452923E-04   7.75304461       0.00000000       0.00000000       2.12300372E-37
   182.000000       11.8039303       5.31112310E-04   7.99976254       0.00000000       0.00000000       3.68568962E-37
   183.000000       11.9904909       5.87699702E-04   8.25200272       0.00000000       0.00000000       6.36036997E-37
   184.000000       12.1787148       6.49622118E-04   8.50982952       0.00000000       0.00000000       1.09114892E-36
   185.000000       12.3686142       7.17314833E-04   8.77330685       0.00000000       0.00000000       1.86108041E-36
   186.000000       12.5602055       7.91242754E-04   9.04250050       0.00000000       0.00000000       3.15621309E-36
   187.000000       12.7535048       8.71901982E-04   9.31747150       0.00000000       0.00000000       5.32264222E-36
   188.000000       12.9485283       9.59821569E-04   9.59828472       0.00000000       0.00000000       8.92661686E-36
   189.000000       13.1452951       1.05556531E-03   9.88500404       0.00000000       0.00000000       1.48896061E-35
   190.000000       13.3438225       1.15973328E-03   10.1776905       0.00000000       0.00000000       2.47032147E-35
   191.000000       13.5441294       1.27296359E-03   10.4764080       0.00000000       0.00000000       4.07693899E-35
   192.000000       13.7462358       1.39593496E-03   10.7812185       0.00000000       0.00000000       6.69362012E-35
   193.000000       13.9501610       1.52936764E-03   11.0921831       0.00000000       0.00000000       1.09337471E-34
   194.000000       14.1559286       1.67402625E-03   11.4093637       0.00000000       0.00000000       1.77702029E-34
   195.000000       14.3635578       1.83072151E-03   11.7328205       0.00000000       0.00000000       2.87385364E-34
   196.000000       14.5730734       2.00031232E-03   12.0626154       0.00000000       0.00000000       4.62507390E-34
   197.000000       14.7844982       2.18370836E-03   12.3988085       0.00000000       0.00000000       7.40775693E-34
   198.000000       14.9978571       2.38187169E-03   12.7414589       0.00000000       0.00000000       1.18086507E-33
   199.000000       15.2131739       2.59582000E-03   13.0906267       0.00000000       0.00000000       1.87365791E-33
   200.000000       15.4304752       2.82662781E-03   13.4463701       0.00000000       0.00000000       2.95928682E-33
   201.000000       15.6497879       3.07543017E-03   13.8087492       0.00000000       0.00000000       4.65286305E-33
   202.000000       15.8711386       3.34342429E-03   14.1778202       0.00000000       0.00000000       7.28314627E-33
   203.000000       16.0945568       3.63187259E-03   14.5536432       0.00000000       0.00000000       1.13504177E-32
   204.000000       16.3200703       3.94210499E-03   14.9362736       0.00000000       0.00000000       1.76127331E-32
   205.000000       16.5477085       4.27552266E-03   15.3257694       0.00000000       0.00000000       2.72139226E-32
   206.000000       16.7775059       4.63359896E-03   15.7221861       0.00000000       0.00000000       4.18727956E-32
   207.000000       17.0094891       5.01788361E-03   16.1255798       0.00000000       0.00000000       6.41616496E-32
   208.000000       17.2436943       5.43000596E-03   16.5360069       0.00000000       0.00000000       9.79146651E-32
   209.000000       17.4801521       5.87167684E-03   16.9535217       0.00000000       0.00000000       1.48824344E-31
   210.000000       17.7188969       6.34469232E-03   17.3781796       0.00000000       0.00000000       2.25309306E-31
   211.000000       17.9599648       6.85093598E-03   17.8100338       0.00000000       0.00000000       3.39772034E-31
   212.000000       18.2033920       7.39238365E-03   18.2491360       0.00000000       0.00000000       5.10414976E-31
   213.000000       18.4492130       7.97110517E-03   18.6955414       0.00000000       0.00000000       7.63853438E-31
   214.000000       18.6974659       8.58926866E-03   19.1493034       0.00000000       0.00000000       1.13886049E-30
