   Temperature           BIR            BW1               BW2             BSW
   302.000000       56.6409721      0.929180026       92.5660629       7.03802618E-20
   303.000000       57.3522224      0.965188861       93.8172607       8.59641765E-20
   304.000000       58.0723801       1.00234997       95.0782852       1.04861938E-19
   305.000000       58.8015404       1.04069161       96.3491364       1.27748998E-19
   306.000000       59.5398064       1.08024275       97.6298294       1.55432510E-19
   307.000000       60.2872772       1.12103271       98.9203568       1.88875836E-19
   308.000000       61.0440483       1.16309118       100.220734       2.29227335E-19
   309.000000       61.8101997       1.20646870       101.530952       2.77854362E-19
   310.000000       62.5858765       1.25115705       102.851013       3.36382974E-19
   311.000000       63.3711548       1.29720640       104.180931       4.06744689E-19
   312.000000       64.1661377       1.34464812       105.520691       4.91231236E-19
   313.000000       64.9708633       1.39351463       106.870384       5.92558483E-19
   314.000000       65.7855606       1.44383836       108.229858       7.13941448E-19
   315.000000       66.6102600       1.49565256       109.599190       8.59181697E-19
   316.000000       67.4450836       1.54899061       110.978371       1.03276912E-18
   317.000000       68.2901154       1.60388672       112.367409       1.24000102E-18
   318.000000       69.1454697       1.66037536       113.766304       1.48712050E-18
   319.000000       70.0112381       1.71849144       115.175049       1.78147696E-18
   320.000000       70.8875427       1.77827048       116.593651       2.13171289E-18
   321.000000       71.7744675       1.83974862       118.022102       2.54798160E-18
   322.000000       72.6721268       1.90296221       119.460396       3.04219721E-18
   323.000000       73.5806274       1.96794808       120.908546       3.62832643E-18
   324.000000       74.5000687       2.03474379       122.366531       4.32272470E-18
   325.000000       75.4305649       2.10338712       123.834358       5.14452616E-18
   326.000000       76.3722076       2.17391658       125.312027       6.11609239E-18
   327.000000       77.3251114       2.24637103       126.799530       7.26352921E-18
   328.000000       78.2893753       2.32078981       128.296860       8.61728721E-18
   329.000000       79.2652130       2.39721274       129.803925       1.02128433E-17
   330.000000       80.2525330       2.47568035       131.320908       1.20914979E-17
   331.000000       81.2515411       2.55623317       132.847702       1.43012778E-17
   332.000000       82.2623367       2.63891292       134.384308       1.68979847E-17
   333.000000       83.2850342       2.72376084       135.930710       1.99463818E-17
   334.000000       84.3197327       2.81081963       137.486923       2.35215739E-17
   335.000000       85.3665466       2.90013218       139.052933       2.77105704E-17
   336.000000       86.4255829       2.99174142       140.628723       3.26140838E-17
   337.000000       87.4969482       3.08569098       142.214310       3.83485763E-17
   338.000000       88.5807571       3.18202567       143.809662       4.50486003E-17
   339.000000       89.6771088       3.28078985       145.414780       5.28694805E-17
   340.000000       90.7861099       3.38202858       147.029663       6.19903379E-17
   341.000000       91.9078827       3.48578787       148.654297       7.26175772E-17
   342.000000       93.0425262       3.59211373       150.288681       8.49888176E-17
   343.000000       94.1901550       3.70105290       151.932800       9.93773994E-17
   344.000000       95.3508759       3.81265235       153.586639       1.16097446E-16
   345.000000       96.5247955       3.92695999       155.250214       1.35509654E-16
   346.000000       97.7120285       4.04402351       156.923492       1.58027906E-16
   347.000000       98.9126892       4.16389179       158.606461       1.84126606E-16
   348.000000       100.126877       4.28661394       160.299133       2.14349191E-16
   349.000000       101.354713       4.41223907       162.001495       2.49317557E-16
   350.000000       102.596298       4.54081774       163.713516       2.89742946E-16
   351.000000       103.851753       4.67240000       165.435211       3.36437940E-16
   352.000000       105.121185       4.80703735       167.166550       3.90330305E-16
   353.000000       106.404709       4.94478035       168.907532       4.52478489E-16
   354.000000       107.702431       5.08568144       170.658142       5.24088878E-16
   355.000000       109.014465       5.22979307       172.418381       6.06535677E-16
   356.000000       110.340919       5.37716770       174.188232       7.01382879E-16
   357.000000       111.681915       5.52785873       175.967667       8.10409095E-16
   358.000000       113.037552       5.68192005       177.756699       9.35635558E-16
   359.000000       114.407959       5.83940554       179.555298       1.07935746E-15
   360.000000       115.793236       6.00037003       181.363464       1.24417896E-15
   361.000000       117.193497       6.16486883       183.181168       1.43305290E-15
   362.000000       118.608864       6.33295727       185.008423       1.64932498E-15
   363.000000       120.039436       6.50469160       186.845184       1.89678290E-15
   364.000000       121.485336       6.68012762       188.691467       2.17971223E-15
   365.000000       122.946686       6.85932302       190.547256       2.50295758E-15
   366.000000       124.423576       7.04233456       192.412521       2.87199247E-15
   367.000000       125.916145       7.22922039       194.287262       3.29299644E-15
   368.000000       127.424492       7.42003870       196.171448       3.77294055E-15
   369.000000       128.948730       7.61484814       198.065094       4.31968422E-15
   370.000000       130.488983       7.81370735       199.968155       4.94208234E-15
   371.000000       132.045364       8.01667595       201.880646       5.65010278E-15
   372.000000       133.617996       8.22381496       203.802536       6.45496111E-15
   373.000000       135.206970       8.43518353       205.733810       7.36926796E-15
   374.000000       136.812408       8.65084267       207.674454       8.40719164E-15
   375.000000       138.434448       8.87085342       209.624466       9.58463943E-15
   376.000000       140.073181       9.09527874       211.583801       1.09194643E-14
   377.000000       141.728729       9.32417870       213.552490       1.24316832E-14
   378.000000       143.401215       9.55761719       215.530472       1.41437299E-14
   379.000000       145.090622       9.79565620       217.517883       1.60807274E-14
   380.000000       146.797318       10.0383596       219.514450       1.82707954E-14
